,favorite_count,full_text,hashtags,retweet_count,year,party_id
252258,10,"b'Enjoyed this profile of Janna Woodburn, the first female attorney born and raised in Morgan County. Janna, thank you for your commitment to #OH15. https://t.co/wH7IdBn5yD'",OH15,1,2018.0,R
375929,6,b'Local company @MeatheadMovers providing free moving services to survivors of domestic violence #MoveToEndDV http://t.co/4Ilx0UNGrV',MoveToEndDV,3,2015.0,D
256877,0,b'ICYMI: The problems within the #SecretService are very concerning and completely outrageous. https://t.co/oXH63Gblea',SecretService,1,2015.0,R
209888,0,b'Senator Coons praises new Presidential actions to spur manufacturing innovation http://t.co/ytSbpOKH8N #netDE',netDE,0,2014.0,D
53244,5,b'Today is #NationalSupportYourLocalChamberofCommerceDay. I am thankful for all of the Chambers of Commerce in #SC02 and everything they do for our local businesses and community! #chamberstrong',NationalSupportYourLocalChamberofCommerceDay SC02 chamberstrong,3,,R
412564,1,"b'I voted for the #Iran nuclear review bill. While far from perfect, Congress MUST have a say in any potential #IranDeal or sanctions relief.'",Iran IranDeal,0,2015.0,R
162882,64,"b"".@USPS is essential &amp; it connects us all, regardless of where we live. That's why I sponsored @RepJoeNeguse's Protect Our Post Offices Act to provide $25 billion in emergency aid to USPS. It's crucial that #PostalWorkers have the resources they need.\n\nhttps://t.co/eCwYUYtIPE""",PostalWorkers,15,2020.0,D
294804,0,"b'Wages have dropped about 3% since #Obama\xe2\x80\x99s inauguration http://t.co/wWeYGVxPIr, via @DailyCaller. #Jobs'",Obama Jobs,1,2013.0,R
581900,3,b'Congrats to Matthew Torres &amp; his mom for representing our district at the 2016 #CongressionalArtCompetition! https://t.co/fYgW889OGX',CongressionalArtCompetition,1,2016.0,D
128437,18,"b'Millions of Americans have fallen into poverty through no fault of their own. \n\nThe House passed multiple #COVID19 rescue plans. Meanwhile, Republicans are racing to confirm Trump\xe2\x80\x99s Supreme Court nominee. The Senate has a duty to serve, not play politics.\n\nhttps://t.co/eW6DmlDF19'",COVID19,8,,D
290390,11,"b'Tax reform is working in the First District.  Brian Hill, owner of Lifestyle Communities, said that the tax savings for developers will enable them to pursue more projects and create jobs.  Click on the link for more details.  https://t.co/Tzo5T3D8EJ #MS01 https://t.co/IfnwqUdjxC'",MS01,5,2018.0,R
551958,8,b'#TBT Football cheerleading circa 1989. Wow #bighair http://t.co/Q5XRfZXlA8',TBT bighair,3,2015.0,R
296350,27,"b""SCOTUS has affirmed each of us deserves respect and dignity in making health decisions. Now it's time to #BeBoldEndHyde! #MyDecision""",BeBoldEndHyde MyDecision,16,2016.0,D
124021,13,"b'Wishing a happy 50th birthday to #PaulWhelan, a courageous American veteran who has been wrongfully detained for 14 months in a Moscow jail. His baseless imprisonment demonstrates the Putin regime\xe2\x80\x99s complete disregard for justice and human rights. 1/2'",PaulWhelan,5,2020.0,D
316962,1,b'Homeland Security Committee hearing on #TSA &amp; aviation security challenges just started. Watch live: http://t.co/5eM8dmU4ff',TSA,0,2015.0,D
376501,0,b'#ConstitutionDay trivia: What state was misspelled in the #Constitution? Hint: It\xe2\x80\x99s one of the original 13 colonies?',ConstitutionDay Constitution,0,2012.0,R
10875,6,b'@LilaGraceRose Thank YOU for your #ProLife leadership and activism! Great visiting with you.',ProLife,2,2015.0,R
68898,8,b'WATCH: Joe &amp; SenToddYoung discuss their Law Enforcement Mental Health and Wellness Act in Indy. #erasethestigma https://t.co/oJqmTupGCs https://t.co/xn3SVdegZ5',erasethestigma,6,2017.0,D
19645,7,b'\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\n\nDeadline is NOON TOMORROW!\n \nThe alternative is waiting for a paper check instead of direct deposit.\n#Philly https://t.co/jNhfXivFWD',Philly,9,2020.0,D
224913,0,"b'Today, the GOP is voting to cut $40B from #SNAP, while nearly 3M veterans  do not have enough to eat. #SaveSNAP #EndHungerNow'",SNAP SaveSNAP EndHungerNow,13,2013.0,D
150825,12,b'That\xe2\x80\x99s why I\xe2\x80\x99m proud to introduce #HR3867 requiring @SecVetAffairs &amp; @deptvetaffairs to improve domestic violence &amp; sexual assault services &amp; to report on the effects of #IPV in the #Veterans community.\nhttps://t.co/wbAdsTxdLI',HR3867 IPV Veterans,6,2019.0,D
10212,9,b'.@HouseDemocrats are protecting our democracy #ForThePeople https://t.co/4D41ZlwS2P',ForThePeople,2,2019.0,D
520237,599,"b""The Supreme Court's decision on #DACA does not lessen the urgent need for Congress to act. We have a moral duty to address the humanitarian crisis President Trump created by ending the #DACA program. #ProtectDreamers""",DACA DACA ProtectDreamers,255,2018.0,D
7170,434,"b'Russia is a destabilizing adversary, Canada and France are strategic partners. @RealDonaldTrump only seems to care whose leader showers him with more false praise. #G72018 #G7Summit'",G72018 G7Summit,139,2018.0,D
286507,0,b'Getting ready for Fox News Power Play tune in live at 11:45 talking #IRSscandal http://t.co/Dcfz6yyywn',IRSscandal,0,2013.0,R
280107,0,b'Why is one of the largest collections of financial data held by the @CFPB? @FinancialCmte #isyourdatasecure http://t.co/D1rzYmlbZO',isyourdatasecure,0,2014.0,R
21893,10,"b""Without normal revenue local govts are hemorrhaging funds for needed supplies &amp; tools to combat #COVID19, straining their ability to carry out basic functions. We're pushing for more funds &amp; flexibility in the next relief package so they can replace lost $ and keep residents safe""",COVID19,2,2020.0,D
318318,365,b'My thoughts &amp; prayers are with the victims of the Palestinian terrorist attack in Har Adar near #Jerusalem &amp; their families.#StandWithIsrael https://t.co/S4PCtQ5g8j',Jerusalem StandWithIsrael,158,2017.0,R
387581,232,"b""Today I voted for, and the House approved, bills to \xe2\x86\x92\n \n\xe2\x9c\x94 Fund the Children\xe2\x80\x99s Health Insurance Program #CHIP\n\n\xe2\x9c\x94 Provide aid for #hurricane and #wildfire victims\n\n\xe2\x9c\x94 Provide resources to help victims of sexual assault and reduce the nation's rape kit backlog\n#utpol""",CHIP hurricane wildfire utpol,47,2017.0,R
421677,2,"b""A sliding scale from gov't assistance to independence, steered on a local level, is a #BetterWay out of poverty. https://t.co/2MFTuFVj0S""",BetterWay,1,2016.0,R
469271,411,b'.@SenDurbin first introduced the Dream Act in 2001. We\xe2\x80\x99ve been working to #ProtectDreamers for nearly 20 years and need to come together to get this done.',ProtectDreamers,128,2018.0,D
495448,18,"b""As we #WearOrange, we're demanding action on #GunViolence Awareness Day! Photo=my District Office staff (thx for wearing the bright clothes) https://t.co/ewSxB0vGaE""",WearOrange GunViolence,4,2017.0,D
484888,0,b'Time to \xe2\x80\x98wine\xe2\x80\x99 down! Celebrate #NationalWineDay #OnlyInDistrict1 https://t.co/sSMFmfgMkp',NationalWineDay OnlyInDistrict1,1,2019.0,D
114344,116,b'As always a good interview with @CNN @NewDay and @ChrisCuomo - https://t.co/JxS5FHO1qk - talked #Obamacare and Intel investigation',Obamacare,52,2017.0,R
507295,9,"b'More evidence that coastal communities everywhere are on the front lines of this climate crisis. It\xe2\x80\x99s impacting our economies, &amp; increasingly, our food chain. California\xe2\x80\x99s fisheries account for 10% of US seafood production. Enough is enough. #ActOnClimate\nhttps://t.co/bbLFPjx6bs'",ActOnClimate,11,2019.0,D
377775,3,"b""In support of 9/11 families and their right to seek justice, I will vote to override the President's veto of #JASTA. https://t.co/p4gCgnHQp8""",JASTA,5,2016.0,D
587393,0,b'Newly enacted House #JOBSact will help community banks raise capital to invest in local #jobs and #smallbiz http://t.co/Bx1QAYva Via @WSJ',JOBSact jobs smallbiz,0,2012.0,R
143826,308,b'#BREAKING FBI Director #Comey confirms investigation underway to examine ties between #RussianHacking &amp; Trump team. https://t.co/ic2mjX6Hna',BREAKING Comey RussianHacking,199,2017.0,D
585034,14,"b""Sorry @halbritz &amp; the Pentagon press pool for @CNN's commandeering &amp; freezing the TVs for a promo for my @CNNOriginals series #DECLASSIFIED (on Sundays at 9 p.m., by the way). I knew we're promoting the next episode, but didn't realize we're promoting it THAT aggressively... https://t.co/ephJFlLD00""",DECLASSIFIED,2,2019.0,R
339103,4,b'ICYMI: my interview w/ @GoodDayMarianne &amp; @GoodDayKenR about my #TVT @librarycongress presentation https://t.co/lQK8I08IEZ @GoodDaySac',TVT,2,2017.0,R
224096,1,b'Good to visit with concrete tech manufacturer @GOMACO in their Ida Grove headquarters #99CountyTour http://t.co/ncP8qIKwlu',99CountyTour,0,2015.0,R
339516,5,b'Look forward to hearing from #Israel PM @Netanyahu today. Watch live beginning @ 10 AM CT here-http://t.co/jI4jmq2tKq http://t.co/phWSFjRkPc',Israel,7,2015.0,R
162810,15,"b'As we combat #COVID19 as a nation, the needs of hardworking American families should be top priority.\n\nAny stimulus package must prevent corporations that receive bailout from laying off their workers during this time of economic uncertainty.\n\nRead my letter to @SpeakerPelosi \xe2\xac\x87\xef\xb8\x8f: https://t.co/ZkFjgJTTPz'",COVID19,12,2020.0,D
472753,5,"b'I introduced the REAL Act to address this nearly $12 billion backlog while not adding to our national debt. By raising visa fees &amp; a minimal park fee increase, we can #repairourparks. In Wyoming, about 7,000 jobs would come out of addressing our backlog, according to the NPS.'",repairourparks,1,2020.0,R
35229,9408,"b'Women, the sick, survivors\xe2\x80\x94they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV'",Obamacare,2210,2016.0,D
157137,5,b'I send my condolences to the family of Tim Braden and his fellow Drew Co sheriffs deputies. https://t.co/peLXMHL78H @MonticelloLive #ar4',ar4,10,2017.0,R
346331,15,b'#ParisAgreement marks unprecedented intl effort to curb climate change. Glad to see it go into effect. We owe future gens to take action now',ParisAgreement,9,2016.0,D
202398,10,b'One out of every 78 new American jobs is in #solar.  http://t.co/CA7wQi83t0 @SEEC  #newenergyeconomy',solar newenergyeconomy,11,2015.0,D
428707,0,"b""RT @HouseGOP: In this week's GOP address, @RepRatcliffe discusses our #BetterWay plan to replace #Obamacare with affordable health care for\xe2\x80\xa6""",BetterWay Obamacare,159,2016.0,R
18323,0,b'Lower gas prices will help many Americans during the holiday season in continued good news for #economy http://t.co/AiOe13Jjsh',economy,0,2014.0,D
444436,0,b'#BadNews MT @politico: Obama administration via State Dept will formally reject the permit for the Keystone XL pipeline today sources say',BadNews,0,2012.0,R
412407,0,b'It was great to meet young #soldiers at the Warner Robins @US_Air_Force base today http://t.co/NbIbaUDa4F',soldiers,0,2013.0,R
329138,12,"b'For 85 years, #SocialSecurity has provided economic security for millions of Americans in retirement. \n\nI\xe2\x80\x99ll always fight to protect this crucial program and stand up against this Administration\xe2\x80\x99s attacks on its funding. https://t.co/hXIEmXq2pJ'",SocialSecurity,4,2020.0,D
165996,12,"b'Joining @SpeakerRyan &amp; @RepKevinBrady to talk about our historic, unified #taxreform. Watch live \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc https://t.co/gTZ1wpnkWJ'",taxreform,8,2017.0,R
446371,85,"b'FYI WaPo, #MIT does not.  Why does Washington Post still title articles to reinforce narrative that game is rigged? #sassywithmassie https://t.co/0UNHiHBMg8'",MIT sassywithmassie,12,2017.0,R
556079,13,"b""Speaking of #ABetterDeal, have you all seen @HouseGOP 's devastating budget? They should go back to the drawing board.""",ABetterDeal,8,2017.0,D
31631,5,b'#ISIS poses both a local and global threat. Last week I heard from expert witnesses: http://t.co/u9zEAp5L3d http://t.co/78pnhRldxy',ISIS,6,2014.0,R
361210,19,b'Today marks the 12th anniversary of #Turkmenistan human rights defender #GulgeldyAnnaniyazov\xe2\x80\x99s arbitrary detention.\n\nTurkmenistan\xe2\x80\x99s government should release him now. https://t.co/XICvQmx0lV',Turkmenistan GulgeldyAnnaniyazov,8,,D
211656,144,"b'Happy birthday, America. \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nhttps://t.co/7oFKf0SaWX #4thofjuly2019 https://t.co/gKUrVQ0DLs'",4thofjuly2019,23,2019.0,D
549510,1,"b""All across the country, small businesses are making the impossible decision to either lay employees off or retain them against their businesses' best interests. #PPP is an important tool for our small businesses &amp; it's clear, we need to work quickly to expand the program.\n\n(2/6)""",PPP,0,2020.0,D
349824,0,"b'This international agreement is no ""gouda"" for Connecticut cheese - #TTIP needs to protect U.S. agriculture. https://t.co/EyQ9mN2mUZ'",TTIP,0,2016.0,D
178593,3,b'I introduced SB 145 to help Hoosier veterans receive the timely burial they deserve. Read more about it: https://t.co/D6DcCVCSQQ #INlegis',INlegis,2,2015.0,R
488137,5,"b""@EPA's announcement to dismantle #WOTUS is a win for #Arkansas homeowners, small businesses and family farmers. https://t.co/iOBtjybp5F""",WOTUS Arkansas,3,2017.0,R
230895,87,"b'Republicans\xe2\x80\x99 refusal to work with Democrats could lead to another #GOPshutdown. Last time, their shutdown cost our economy $1.5 billion per day. RT to call on Republicans to work with Democrats to address our nation\xe2\x80\x99s priorities. https://t.co/e8aWbwa8w5'",GOPshutdown,91,2018.0,D
571182,6,"b""Great mtg w @NASAGoddard Dir, staff, &amp; MD interns this afternoon. They're our next generation of #STEM professionals! http://t.co/2GLEu7deCT""",STEM,3,2015.0,D
258963,120,"b'These flags hung at #Armenian schools were clearly meant to be a hateful, direct threat against the children taught within them. The perpetrator of this crime must be brought to justice by the LAPD.\nhttps://t.co/QvGSYMDYau'",Armenian,55,2019.0,D
326796,15,"b'If #USMCA was brought to the House floor for a vote, it would pass. Congress needs to act. The USMCA is a win for workers and for America. https://t.co/YvpVaItOsQ'",USMCA,5,2019.0,R
17309,2,b'Great visit w/ #TX22 members of #NORPAC today. America will always stand w/ our strong ally Israel! https://t.co/NsgH3ZHYej',TX22 NORPAC,3,2016.0,R
274541,3,"b'On #HolocaustRemembranceDay, #weremember the 6 million Jews who were murdered during the Holocaust and we pledge #neveragain. https://t.co/2RU2iR1oH3'",HolocaustRemembranceDay weremember neveragain,3,2018.0,R
87117,0,b'Ex-Im renewal transcends party lines http://t.co/kSYEulPxeC? #ExIm4Jobs',ExIm4Jobs,0,2015.0,D
481430,0,"b'Attn: Bath County residents, staff traveling help desk will be at the Courthouse in Owingsville at 10am tomorrow http://t.co/BVv6Oao #KY4'",KY4,0,2011.0,R
378089,5,"b'#TrumpCuts would slash $800 billion in Medicaid spending, pushing vulnerable Americans even closer to financial ruin'",TrumpCuts,7,2017.0,D
281033,99,"b'Happy birthday Utah!\nOn January 4, 1896, Utah was the 45th state admitted to the Union! #Utah #utpol \nThis relief map was created in 1895-to view more: https://t.co/n7VaAgM2S3\n#LibraryofCongress https://t.co/jJFeSf47uW'",Utah utpol LibraryofCongress,34,2018.0,R
300088,3,"b""\xe2\x80\x9cWherever and whenever I can take steps without legislation... that's what I'm going to do.\xe2\x80\x9d #ImperialPresident #SOTU""",ImperialPresident SOTU,4,2014.0,R
564994,10,b'Grateful to receive the #FriendOfFarmBureau Award from the @GaFarmBureau for my work on behalf of #agriculture. Thank you! #GeorgiaGrown https://t.co/VysMDZue9O',FriendOfFarmBureau agriculture GeorgiaGrown,2,2017.0,R
192967,34,b'Our #2A right doesn\xe2\x80\x99t disappear when we cross state lines &amp; the legislation I introduced today guarantees that -&gt; https://t.co/gUnZTacfyD',2A,18,2017.0,R
354252,47,b'Great afternoon visiting w/community &amp; business leaders in Muhlenburg County along w/Rep. @MelindaPrunty. #KY1 https://t.co/dsEp1hK40m',KY1,5,2018.0,R
397974,8,"b""I'll be talking with @RepJeffries, @RepEspaillat &amp; @AARPNY about racial health disparities &amp; #COVID19 tomorrow from 1 to 2 pm.\n \nTo join, call 877-229-8493, PIN # 18948 (after being connected press \xe2\x80\x9c*0\xe2\x80\x9d to hear in Spanish).\n \nOr via #Facebook livestream at https://t.co/EZ7PggbuW3""",COVID19 Facebook,3,2020.0,D
482929,127,"b'The Senate passed #FOSTA-#SESTA today and now it heads to @POTUS\xe2\x80\x99 desk to become law. This landmark legislation will help victims of this crime and gives federal, state, and local prosecutors the tools to fight a dangerous new territory in sex trafficking\xe2\x80\x94the internet.'",FOSTA SESTA,54,2018.0,R
206127,19,b'I am deeply saddened by the senseless violence in #Munich. My thoughts are with all those affected by this latest tragedy.',Munich,4,2016.0,D
465710,5,"b""1 of OMB\xe2\x80\x99s key responsibilities is production of the President\xe2\x80\x99s budget gov-wide. On that measure, I'm afraid OMB has managed to disappoint me even more than last yr.\n\nToday, I asked @MickMulvaneyOMB about #TrumpBudget, which would create an annual deficit of $984B in its 1st yr.""",TrumpBudget,4,2018.0,D
59638,15,b'Just had a great meeting with Heather Harmon from @NevadaArt. We discussed their plans to move forward with a new museum downtown! #OnlyinDistrict1 https://t.co/UBwEeDTgyv',OnlyinDistrict1,3,2019.0,D
377550,322,"b'In California, bringing #JunkPlans back would mean up to 5.8 million people with pre-existing conditions could have their coverage threatened. Higher costs, worse coverage and a destabilization of the insurance market aren\xe2\x80\x99t what we need. https://t.co/SboeEbUs8s'",JunkPlans,178,2018.0,D
439513,0,"b""RT @JDRFofCNY: Just a few weeks ago, local student Trey Tyler had the opportunity to tell @RepTomReed what it's like to live with #T1D. Ver\xe2\x80\xa6""",T1D,1,2017.0,R
131468,696,"b'Today we honor those who made the ultimate sacrifice for our nation and our freedom. This Memorial Day, in this time of isolation, reach out to a veteran or their family. Let them know you care. #MemorialDay'",MemorialDay,128,2020.0,R
23182,7,"b'Today we celebrate and honor the mothers who guide us, care for us, inspire us and push us to be the best we can be. Happy #MothersDay https://t.co/T4fdRaZ77I'",MothersDay,3,2020.0,D
515909,0,"b'@franklinblog, #438days was an INCREDIBLE read. Great escape from politics. Thanks.'",438days,0,2016.0,R
203476,18,b'Thank you for all the good work you are doing feed our community! #AZ08 https://t.co/BZtbzxx734',AZ08,2,2019.0,R
397795,0,"b'I\xe2\x80\x99m sorry but you are mistaken. I voted against the #NDAA RT @maurcs All Georgia representatives voted Yes on #NDAA, including@repjohnlewis'",NDAA NDAA,4,2011.0,D
228749,13,b'Hillary Clinton is all in on #Immigration. No domestic enforcement or border security. Hillary will create the Uber Autobahn to #Amnesty.',Immigration Amnesty,45,2015.0,R
425642,48,b'May is Mental Health Awareness Month. We must work together to help #EndStigma and increase access to mental health services. #mhm2017',EndStigma mhm2017,18,2017.0,D
336047,5,b'Great dialogue today @ constituent gathering including members of the #Kendall Federation &amp; others. We discussed just about everything #FL26 https://t.co/L9TGG4laNH',Kendall FL26,3,2017.0,R
377730,2,b'#DomesticViolenceFacts: Domestic violence help line calls increase as much as 50% after natural disasters. #DVAM2017',DomesticViolenceFacts DVAM2017,3,2017.0,D
286157,0,b'In #Houston 2day 2 meet w/oil industry experts 2 discuss possible solutions 2 #Gulf #oilspill.U would think we can stop leak in near future.',Houston Gulf oilspill,0,2010.0,R
266001,287,"b'BREAKING: House passes Delivering for America Act, including 26 Republicans. They too know that @USPS is not a political issue &amp; realize @WhiteHouse / DeJoy\xe2\x80\x99s assault hurts our democracy and disenfranchises countless voters! #DontMessWithUSPS #YourVoteMatters'",DontMessWithUSPS YourVoteMatters,98,,D
417556,16,b'Praying for the victims &amp; first responders in #Barcelona. We stand with you in the fight against terrorism &amp; will not be intimidated.',Barcelona,2,2017.0,R
220697,23,b'I voted for the #SaveTheInternet Act to overturn the FCC\xe2\x80\x99s 2017 order to roll back #NetNeutrality. Oregonians overwhelmingly support enforceable protections to ensure a free &amp; open internet &amp; so do I. Congress must act to codify important #NetNeutrality protections for consumers.',SaveTheInternet NetNeutrality NetNeutrality,3,2019.0,D
475321,6,"b'Today I visited with @ALRuralElectric about providing secure, reliable #energy sources. Grateful for the good work they do in #Alabama. https://t.co/SftSk9ZKuh'",energy Alabama,4,2017.0,R
45849,161,b'Powerful voices of Jewish faith leaders standing with DACA recipients and calling on Congress to do the right thing and pass a clean #DreamActNow.\n#JewsForDreamers #LetMyPeopleStay https://t.co/ljgXK8ugHj',DreamActNow JewsForDreamers LetMyPeopleStay,66,2018.0,D
304049,51,"b'I am proud to be an original cosponsor of this resolution to support the people of #Nicaragua in their struggle for #democracy against the Ortega regime. The United States must continue supporting the fight for freedom, human rights, and free and fair elections in Nicaragua. https://t.co/uP4bZqyqPJ'",Nicaragua democracy,18,2019.0,R
444169,10,b'BIG NEWS: @EdWorkforce Chairwoman @VirginiaFoxx and I just introduced the #PROSPER Act. Read more: https://t.co/hNfHCE8lCR https://t.co/If9tiGrGhV',PROSPER,3,2017.0,R
416653,32,"b'People need help now\xe2\x80\x94this is not a time for inaction and delay.\n\nRead my new op-ed on how the #HeroesAct will get needed relief to families, workers, students &amp; teachers. https://t.co/dWZ22YPQLc'",HeroesAct,16,2020.0,D
479245,32,"b'You know, some people say the #Olympic rings are symbolic of the world\xe2\x80\x99s continents. But I have a theory that they\xe2\x80\x99re actually curling stones. Sometime I\xe2\x80\x99ll have to ask @TeamShuster, the #gold medal-winning curling team from the Twin Ports.'",Olympic gold,4,2018.0,D
456067,633,"b'California Representative @Nanette4CA has stood up for our nation\xe2\x80\x99s values since the first day she was elected to the House. During her time in office, she\xe2\x80\x99s fought to protect Dreamers, veterans, and our environment. \n\nI am proud to have her on our team. #HispanicHeritageMonth https://t.co/RvPrVAKc8u'",HispanicHeritageMonth,149,2019.0,D
242586,8,"b""BIG: Contrary to what you may hear in the news, there is a greater percentage of Americans in employer health coverage today than at any time since 2000. Here's what that means for Americans with #PreExistingConditions. https://t.co/rLq3Fbk2ZN""",PreExistingConditions,1,2018.0,R
301220,20,"b'No one should be denied health care coverage because of a pre-existing condition, or be forced to pay and arm and a leg for care \xe2\x80\x93 yet this is the reality Republicans want to take us back to. I was proud to stand with my Democratic colleagues to say that we must #ProtectOurCare. https://t.co/Hdg4Ccb00q'",ProtectOurCare,12,2018.0,D
315107,14,"b""@SenatorHassan #TrumpCuts would harm NH's fight against the opioid epidemic, women's health, early childhood edu &amp; NH small businesses""",TrumpCuts,4,2017.0,D
387967,1,b'We should protect &amp; strengthen #SocialSecurity b/c we all deserve the financial assurance in our golden years that we have earned.',SocialSecurity,2,2015.0,D
466803,9,"b""Ending subsidies to oil companies would free up $4B to make education more affordable. I'm committed to supporting #4Billion4Us""",4Billion4Us,5,2016.0,D
131726,14,"b'Today I voted YES, again, to build the #KeystoneXLpipeline In the history of commonsense this is the most commonsense project for #jobs'",KeystoneXLpipeline jobs,12,2015.0,R
413065,2,b'.@realDonaldTrump How @realDonaldTrump failed to #DrainTheSwamp (36/100): https://t.co/KW50rFd09P #Trump100Days',DrainTheSwamp Trump100Days,0,2017.0,D
17821,1108,"b'Unfortunately, Donald Trump\xe2\x80\x99s empty words once again haven\xe2\x80\x99t led to any meaningful action. Lives are on the line, and Trump\xe2\x80\x99s stubborn refusal to use the #DefenseProductionActNow to further ramp up production of #PersonalProtectiveEquipment &amp; ventilators is a dereliction of duty. https://t.co/Xrl3WQexYo'",DefenseProductionActNow PersonalProtectiveEquipment,341,2020.0,D
80165,7,"b'""Letter to the editor: Marshall will get his vote""\n\n""Dr. Marshall is the clear choice for the GOP nomination... He is a trusted conservative who will fight to protect our strong Kansas values. Dr. Marshall has dedicated his life to serving others.""\n\nhttps://t.co/gS9V1h6Bbo #kssen'",kssen,4,2020.0,R
229671,6978,b'Xenophobia is a disease. #DemDebate',DemDebate,1070,2020.0,D
569693,185,"b'For the 100,000+ ppl in CA-35 who count on the ACA for the healthcare, it isn\xe2\x80\x99t a disaster. It\xe2\x80\x99s a lifesaver #JointSession'",JointSession,62,2017.0,D
236123,40,b'\xe2\x80\x9dWhistleblower\xe2\x80\x9d a likely disgruntled #obama deep stater on his way out the door. #PresidentTrump like all Presidents can declassify anything he was to. \n\nhttps://t.co/fO2933ypDW\n\nExplore the Fox News apps that are right for you at https://t.co/kJP5ifdpQs.',obama PresidentTrump,24,2019.0,R
11566,35,b'Happy #NationalInternDay to our DC summer interns. Our staff greatly appreciates your hard work this summer. #IN07 https://t.co/hcyFkJH2Vy',NationalInternDay IN07,4,2017.0,D
572459,136,b'Watch LIVE as I take to the @SenateFloor to talk about this disastrous health care plan. #mtpol #WhatsAtRisk https://t.co/2ML4Q8wABu https://t.co/TFcak76TkO',mtpol WhatsAtRisk,33,2017.0,D
300240,29,"b'On this #LawEnforcementAppreciationDay, I want to thank every man &amp; woman who have devoted their lives to keeping our communities safe here in Southwest Washington. \n\nWe are forever grateful for your service. https://t.co/yTr1SszXZc'",LawEnforcementAppreciationDay,7,2020.0,R
77892,11,"b'On National #LatinoAIDSAwarenessDay, let\xe2\x80\x99s help promote #HIV testing, prevention, and treatment in #Latino communities and renew our commitment to finding a cure. https://t.co/qovwrLdlk9 https://t.co/rx7hd6dXGN'",LatinoAIDSAwarenessDay HIV Latino,7,2018.0,R
203557,46,"b'While we mark #AAPIEqualPay Day today, many #AAPI women must work months longer to catch up #NotYourModelMinority https://t.co/IGjyx1bSJq'",AAPIEqualPay AAPI NotYourModelMinority,38,2017.0,D
52678,16968,b'30M EXERCISE IN SOPHISTRY Exhibit 1:  Using Fakenews stories to support findings (see V2 pg 73-74). Leak creates Fakenews creates SC creates #MuellerDossier to justify leak...rinse and repeat',MuellerDossier,7170,2019.0,R
462255,53,"b'This week, I introduced legislation w/ 150 others in the House to set a nationwide goal of a 100% clean economy by 2050. \n\nThis is the least we should do. If we all do our job, we can beat this deadline. We have the ideas, tools, and vision \xe2\x80\x93 now we need action. #100by50'",100by50,14,2019.0,D
399765,0,"b""RT @HouseGOP: Monday marks the 5th anniversary of #ObamaCare. Help us show the President that #ObamaCare isn't working: http://t.co/nuyuxo6\xe2\x80\xa6""",ObamaCare ObamaCare,27,2015.0,R
219799,8,b'A few thoughts on #Charlottesville: White supremacy is evil &amp; inconsistent with the purpose and founding of America https://t.co/ujGqAb0vBN',Charlottesville,4,2017.0,R
376079,1,"b'Just one more difficulty facing employers ""Some #Smallbiz Employees to Have Only One Health-Plan Choice"" http://t.co/RKL7QUmerJ @WSJ'",Smallbiz,0,2014.0,R
481513,0,b'Tune in to my recap of February here: http://t.co/PQCC0LXUVa #VA05',VA05,2,2015.0,R
562671,2,"b""My full statement on today's national monument designation: https://t.co/dA8zuc4frl #mepolitics""",mepolitics,3,2016.0,R
50809,9,"b'Beginning today, the @CDCgov has issued an eviction moratorium for renters who cannot pay their rent, but it isn\xe2\x80\x99t enough. \n\nThe Senate needs to pass the #HeroesAct to provide real economic relief for renters. https://t.co/7ISH2o7kPh.'",HeroesAct,5,,D
400190,12,"b'This week, @carnegiescience announced the discovery of 20 new moons orbiting Saturn - now they need help naming the new moons. To share your suggestion, tweet your moon name to @SaturnLunacy with the hashtag #NameSaturnsMoons by December 6th. More info --&gt; https://t.co/Xqtt63sgKw'",NameSaturnsMoons,6,2019.0,D
21774,2,"b""@SenatorBarb We don't have to face a gov't shutdown if senators #standuptoReid and pass the CR. #SenateMustAct""",standuptoReid SenateMustAct,13,2013.0,R
196477,16,b'This is the action we need to take to support #smallbiz &amp; families living paycheck-to-paycheck. @VP says here the average family of 4 will receive $3000 in Phase 3 of the coronavirus response. https://t.co/aS26zzILTW',smallbiz,7,2020.0,R
118049,3,b'May 1-7 is Small Business Week! Be sure to shop small this #SmallBizWeek2016! https://t.co/cuGuejWNP2',SmallBizWeek2016,3,2016.0,R
486098,16,b'February 14th marks one year since the deadliest high school shooting in US History. We stand with the entire community of Parkland as we mourn the 17 lives lost at MSD. We must honor their lives with action. #NeverForget',NeverForget,2,2019.0,D
176775,124,b'Wishing our Oklahoma Jewish community a very #HappyHanukkah! https://t.co/7xBp2WF74r',HappyHanukkah,14,2018.0,R
436325,6,"b'For those who never returned home, you are American heroes. You are not forgotten. #POWMIA https://t.co/sFYQ5bM29c'",POWMIA,1,2019.0,R
143592,49,"b'\xf0\x9f\x9a\xa8NEW BILL ALERT\xf0\x9f\x9a\xa8\n\nOne issue I hear about any time I am home in #NM2 is the challenge rural residents face due to a lack of accessible #healthcare providers, leading many to forego necessary care or to stretch their budgets to attend doctors\xe2\x80\x99 appointments hours away.'",NM2 healthcare,7,2019.0,D
